Name,Type,FDC ID,Protein (g),Total Fat (g),Carbs (g),Calories (kcal),Sugars (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Copper (mg),Selenium (mcg),Vitamin A (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin C (mg),Vitamin B-1 (mg),Vitamin B-2 (mg),Vitamin B-3 (mg),Vitamin B-6 (mg),Folate (mcg),Vitamin B-12 (mcg),Vitamin K (mcg),Cholesterol (mg),Saturated Fat (g),Omega-3 EPA (g),Monounsaturated Fat (g),Polyunsaturated Fat (g)
"Coffee, Latte, decaffeinated, nonfat, flavored",N/A,2710396,2.79,0.1,7.54,42.0,7.38,0.0,107.0,0.02,22.0,88.0,153.0,35.0,0.37,0.01,1.6,52.0,0.0,0.9,0.0,0.041,0.135,0.923,0.042,2.0,0.38,0.0,2.0,0.054,0.0,0.014,0.019
"Coffee, Latte, decaffeinated, with non-dairy milk",N/A,2710394,0.97,1.37,2.82,28.0,1.7,0.1,128.0,0.29,21.0,31.0,63.0,45.0,0.18,0.041,0.6,30.0,1.73,0.8,0.0,0.014,0.061,0.937,0.01,4.0,0.31,0.8,0.0,0.148,0.0,0.654,0.441
"Coffee, Latte, decaffeinated, with non-dairy milk, flavored",N/A,2710397,0.94,1.33,6.01,40.0,4.94,0.1,124.0,0.28,21.0,30.0,61.0,43.0,0.17,0.04,0.6,29.0,1.68,0.8,0.0,0.014,0.059,0.906,0.01,4.0,0.3,0.7,0.0,0.143,0.0,0.632,0.426
"Coffee, Latte, flavored",N/A,2710389,2.72,1.57,7.49,55.0,7.22,0.0,102.0,0.02,23.0,84.0,147.0,34.0,0.35,0.009,1.5,67.0,0.03,0.9,0.2,0.043,0.14,0.941,0.044,2.0,0.35,0.2,6.0,0.907,0.0,0.321,0.062
"Coffee, Latte, nonfat",N/A,2710387,2.87,0.1,4.37,30.0,4.2,0.0,110.0,0.02,23.0,90.0,158.0,36.0,0.38,0.01,1.7,53.0,0.0,0.9,0.0,0.042,0.139,0.978,0.044,2.0,0.39,0.0,2.0,0.056,0.0,0.014,0.021
"Coffee, Latte, nonfat, flavored",N/A,2710390,2.78,0.1,7.51,42.0,7.35,0.0,106.0,0.02,23.0,87.0,153.0,35.0,0.37,0.01,1.6,51.0,0.0,0.9,0.0,0.041,0.135,0.946,0.042,2.0,0.37,0.0,2.0,0.054,0.0,0.014,0.02
"Coffee, Latte, with non-dairy milk",N/A,2710388,0.97,1.36,2.81,28.0,1.69,0.1,128.0,0.29,22.0,30.0,63.0,44.0,0.17,0.041,0.6,29.0,1.72,0.8,0.0,0.014,0.061,0.96,0.01,4.0,0.31,0.7,0.0,0.148,0.0,0.65,0.439
"Coffee, Latte, with non-dairy milk, flavored",N/A,2710391,0.94,1.33,5.99,40.0,4.91,0.1,123.0,0.28,21.0,29.0,61.0,43.0,0.17,0.04,0.6,29.0,1.67,0.8,0.0,0.014,0.06,0.929,0.01,4.0,0.3,0.7,0.0,0.143,0.0,0.629,0.424
"Coffee, NS as to brewed or instant",N/A,2710374,0.12,0.02,0.0,1.0,0.0,0.0,2.0,0.01,3.0,3.0,49.0,2.0,0.02,0.002,0.0,0.0,0.01,0.0,0.0,0.014,0.076,0.191,0.001,2.0,0.0,0.1,0.0,0.002,0.0,0.015,0.001
"Coffee, NS as to brewed or instant, decaffeinated",N/A,2710451,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.05,5.0,1.0,54.0,2.0,0.02,0.007,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.1,0.0,0.002,0.0,0.0,0.002
"Coffee, NS as to type",N/A,2710373,0.12,0.02,0.0,1.0,0.0,0.0,2.0,0.01,3.0,3.0,49.0,2.0,0.02,0.002,0.0,0.0,0.01,0.0,0.0,0.014,0.076,0.191,0.001,2.0,0.0,0.1,0.0,0.002,0.0,0.015,0.001
"Coffee, Turkish",N/A,2710377,0.11,0.04,6.47,27.0,6.48,0.0,2.0,0.01,3.0,3.0,46.0,2.0,0.02,0.002,0.0,0.0,0.01,0.0,0.0,0.013,0.072,0.179,0.001,2.0,0.0,0.1,0.0,0.002,0.0,0.014,0.001
"Coffee, bottled/canned",N/A,2710478,1.98,1.38,12.6,71.0,10.7,0.0,74.0,0.04,9.0,59.0,175.0,26.0,0.26,0.002,0.0,0.0,0.01,0.0,0.0,0.043,0.193,1.32,0.0,0.0,0.51,0.1,5.0,0.0,0.0,0.293,0.038
"Coffee, bottled/canned, light",N/A,2710479,1.27,0.7,5.91,35.0,5.91,0.0,46.0,0.01,6.0,39.0,86.0,15.0,0.17,0.002,0.7,30.0,0.02,0.4,0.1,0.029,0.095,0.155,0.022,2.0,0.2,0.1,3.0,0.397,0.0,0.152,0.021
"Coffee, brewed",N/A,2710375,0.12,0.02,0.0,1.0,0.0,0.0,2.0,0.01,3.0,3.0,49.0,2.0,0.02,0.002,0.0,0.0,0.01,0.0,0.0,0.014,0.076,0.191,0.001,2.0,0.0,0.1,0.0,0.002,0.0,0.015,0.001
"Coffee, brewed, blend of regular and decaffeinated",N/A,2710376,0.11,0.01,0.0,0.0,0.0,0.0,2.0,0.03,4.0,2.0,52.0,2.0,0.02,0.005,0.0,0.0,0.0,0.0,0.0,0.007,0.038,0.206,0.0,1.0,0.0,0.1,0.0,0.002,0.0,0.008,0.002
"Coffee, brewed, decaffeinated",N/A,2710452,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.05,5.0,1.0,54.0,2.0,0.02,0.007,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.1,0.0,0.002,0.0,0.0,0.002
"Coffee, brewed, flavored",N/A,2710380,0.12,0.02,0.0,1.0,0.0,0.0,2.0,0.01,3.0,3.0,49.0,2.0,0.02,0.002,0.0,0.0,0.01,0.0,0.0,0.014,0.076,0.191,0.001,2.0,0.0,0.1,0.0,0.002,0.0,0.015,0.001
"Coffee, cafe con leche",N/A,2710384,1.67,1.13,5.63,40.0,4.83,0.0,62.0,0.06,45.0,53.0,132.0,26.0,0.23,0.025,0.9,28.0,0.02,0.5,0.1,0.028,0.154,2.61,0.03,1.0,0.27,0.2,4.0,0.649,0.0,0.222,0.079
"Coffee, cafe con leche, decaffeinated",N/A,2710385,1.69,1.15,5.7,40.0,4.91,0.0,63.0,0.06,45.0,54.0,132.0,26.0,0.24,0.025,0.9,28.0,0.02,0.5,0.1,0.028,0.153,2.57,0.031,1.0,0.27,0.2,4.0,0.658,0.0,0.225,0.079
"Coffee, decaffeinated, pre-lightened",N/A,2710465,0.15,0.71,1.89,14.0,0.17,0.0,4.0,0.04,4.0,9.0,43.0,7.0,0.01,0.011,0.1,0.0,0.03,0.0,0.0,0.0,0.011,0.23,0.0,0.0,0.0,0.1,0.0,0.411,0.0,0.21,0.01
"Coffee, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener",N/A,2710463,0.15,0.7,2.38,16.0,0.6,0.0,4.0,0.04,4.0,8.0,43.0,7.0,0.01,0.011,0.1,0.0,0.03,0.0,0.0,0.0,0.011,0.229,0.0,0.0,0.0,0.1,0.0,0.408,0.0,0.209,0.01
"Coffee, decaffeinated, pre-lightened and pre-sweetened with sugar",N/A,2710461,0.14,0.69,5.11,27.0,3.45,0.0,4.0,0.04,3.0,8.0,42.0,7.0,0.01,0.011,0.2,0.0,0.03,0.0,0.0,0.0,0.011,0.222,0.0,0.0,0.0,0.0,0.0,0.397,0.0,0.203,0.009
"Coffee, decaffeinated, pre-sweetened with low calorie sweetener",N/A,2710469,0.1,0.0,1.14,5.0,0.45,0.0,4.0,0.03,4.0,2.0,29.0,4.0,0.01,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.011,0.234,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001
"Coffee, decaffeinated, pre-sweetened with sugar",N/A,2710467,0.09,0.01,3.97,16.0,3.36,0.0,4.0,0.03,3.0,2.0,28.0,4.0,0.01,0.01,0.2,0.0,0.0,0.0,0.0,0.0,0.012,0.227,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001
"Coffee, espresso",N/A,2710378,0.12,0.18,1.67,9.0,0.0,0.0,2.0,0.13,80.0,7.0,115.0,14.0,0.05,0.05,0.0,0.0,0.01,0.0,0.2,0.001,0.177,5.21,0.002,1.0,0.0,0.1,0.0,0.092,0.0,0.0,0.092
"Coffee, espresso, decaffeinated",N/A,2710379,0.1,0.18,1.69,9.0,0.0,0.0,2.0,0.13,80.0,7.0,115.0,14.0,0.05,0.05,0.0,0.0,0.0,0.0,0.2,0.001,0.177,5.21,0.002,1.0,0.0,0.1,0.0,0.092,0.0,0.0,0.092
"Coffee, instant, 50% less caffeine, reconstituted",N/A,2710450,0.12,0.0,0.61,3.0,0.0,0.0,4.0,0.04,4.0,3.0,30.0,4.0,0.01,0.011,0.1,0.0,0.0,0.0,0.0,0.0,0.001,0.236,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002
"Coffee, instant, decaffeinated, not reconstituted",N/A,2710481,11.6,0.2,76.0,351.0,0.0,0.0,140.0,3.8,311.0,286.0,3500.0,23.0,0.11,0.069,17.3,0.0,0.0,0.0,0.0,0.0,1.36,28.1,0.0,0.0,0.0,1.9,0.0,0.101,0.0,0.021,0.101
"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted",N/A,2710485,4.22,20.1,68.2,457.0,17.3,0.0,34.0,1.05,73.0,243.0,1230.0,81.0,0.07,0.027,4.0,0.0,0.77,0.0,0.0,0.0,0.318,6.56,0.0,0.0,0.0,1.5,0.0,11.7,0.0,5.98,0.273
"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",N/A,2710459,0.15,0.7,2.38,16.0,0.6,0.0,4.0,0.04,4.0,8.0,43.0,7.0,0.01,0.011,0.1,0.0,0.03,0.0,0.0,0.0,0.011,0.229,0.0,0.0,0.0,0.1,0.0,0.408,0.0,0.209,0.01
"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, not reconstituted",N/A,2710484,0.0,13.3,86.3,465.0,66.7,0.0,0.0,0.0,0.0,0.0,57.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0
"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, reconsitituted",N/A,2710455,0.14,0.69,5.11,27.0,3.45,0.0,4.0,0.04,3.0,8.0,42.0,7.0,0.01,0.011,0.2,0.0,0.03,0.0,0.0,0.0,0.011,0.222,0.0,0.0,0.0,0.0,0.0,0.397,0.0,0.203,0.009
"Coffee, instant, decaffeinated, reconstituted",N/A,2710453,0.1,0.0,0.64,3.0,0.0,0.0,4.0,0.03,4.0,2.0,29.0,4.0,0.01,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.011,0.235,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001
"Coffee, instant, not reconstituted",N/A,2710480,12.2,0.5,75.4,353.0,0.0,0.0,141.0,4.41,327.0,303.0,3540.0,37.0,0.35,0.139,12.6,0.0,0.0,0.0,0.0,0.008,0.074,28.2,0.029,0.0,0.0,1.9,0.0,0.197,0.0,0.041,0.196
"Coffee, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",N/A,2710458,0.15,0.7,2.37,16.0,0.6,0.0,4.0,0.04,4.0,9.0,43.0,7.0,0.01,0.011,0.1,0.0,0.03,0.0,0.0,0.0,0.001,0.229,0.0,0.0,0.0,0.1,0.0,0.409,0.0,0.209,0.01
"Coffee, instant, pre-lightened and pre-sweetened with sugar, not reconstituted",N/A,2710483,2.4,11.3,83.0,438.0,56.1,0.0,19.0,0.68,42.0,136.0,680.0,47.0,0.07,0.028,1.9,0.0,0.42,0.0,0.0,0.001,0.02,3.62,0.004,0.0,0.0,0.8,0.0,6.45,0.0,3.29,0.162
"Coffee, instant, pre-lightened and pre-sweetened with sugar, reconstituted",N/A,2710454,0.15,0.7,5.11,27.0,3.45,0.0,4.0,0.04,4.0,8.0,42.0,7.0,0.01,0.011,0.1,0.0,0.03,0.0,0.0,0.0,0.001,0.223,0.0,0.0,0.0,0.0,0.0,0.397,0.0,0.203,0.01
"Coffee, instant, pre-sweetened with sugar, not reconstituted",N/A,2710482,2.36,0.36,94.9,392.0,80.5,0.0,28.0,0.89,63.0,59.0,686.0,8.0,0.08,0.033,2.9,0.0,0.0,0.0,0.0,0.002,0.03,5.45,0.006,0.0,0.0,0.4,0.0,0.038,0.0,0.008,0.038
"Coffee, instant, pre-sweetened with sugar, reconstituted",N/A,2710456,0.1,0.02,3.96,16.0,3.36,0.0,4.0,0.04,4.0,2.0,29.0,4.0,0.01,0.011,0.1,0.0,0.0,0.0,0.0,0.0,0.001,0.228,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002
"Coffee, instant, reconstituted",N/A,2710449,0.1,0.0,0.63,3.0,0.0,0.0,4.0,0.04,4.0,3.0,30.0,4.0,0.01,0.011,0.1,0.0,0.0,0.0,0.0,0.0,0.001,0.236,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002
"Coffee, macchiato",N/A,2710382,1.18,0.83,2.71,23.0,1.61,0.0,43.0,0.09,58.0,38.0,129.0,22.0,0.18,0.034,0.6,19.0,0.02,0.4,0.2,0.018,0.164,3.53,0.019,1.0,0.15,0.1,3.0,0.473,0.0,0.151,0.085
"Coffee, macchiato, sweetened",N/A,2710383,1.13,0.8,6.89,40.0,5.84,0.0,41.0,0.09,55.0,37.0,123.0,21.0,0.17,0.033,0.6,18.0,0.02,0.3,0.1,0.017,0.158,3.37,0.019,1.0,0.14,0.1,3.0,0.453,0.0,0.145,0.081
"Coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",N/A,2710457,0.32,0.43,2.46,15.0,1.14,0.2,5.0,0.11,6.0,15.0,67.0,20.0,0.04,0.028,0.2,0.0,0.0,0.0,0.0,0.001,0.004,0.202,0.001,0.0,0.0,0.1,0.0,0.371,0.0,0.031,0.012
"Coffee, pre-lightened",N/A,2710464,0.15,0.71,1.88,14.0,0.17,0.0,4.0,0.04,4.0,9.0,43.0,7.0,0.01,0.011,0.1,0.0,0.03,0.0,0.0,0.0,0.001,0.231,0.0,0.0,0.0,0.1,0.0,0.411,0.0,0.21,0.01
"Coffee, pre-lightened and pre-sweetened with low calorie sweetener",N/A,2710462,0.15,0.7,2.37,16.0,0.6,0.0,4.0,0.04,4.0,9.0,43.0,7.0,0.01,0.011,0.1,0.0,0.03,0.0,0.0,0.0,0.001,0.229,0.0,0.0,0.0,0.1,0.0,0.409,0.0,0.209,0.01
"Coffee, pre-lightened and pre-sweetened with sugar",N/A,2710460,0.15,0.7,5.11,27.0,3.45,0.0,4.0,0.04,4.0,8.0,42.0,7.0,0.01,0.011,0.1,0.0,0.03,0.0,0.0,0.0,0.001,0.223,0.0,0.0,0.0,0.0,0.0,0.397,0.0,0.203,0.01
"Coffee, pre-sweetened with low calorie sweetener",N/A,2710468,0.1,0.0,1.13,5.0,0.45,0.0,4.0,0.04,4.0,3.0,29.0,4.0,0.01,0.011,0.1,0.0,0.0,0.0,0.0,0.0,0.001,0.235,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002
"Coffee, pre-sweetened with sugar",N/A,2710466,0.1,0.02,3.96,16.0,3.36,0.0,4.0,0.04,4.0,2.0,29.0,4.0,0.01,0.011,0.1,0.0,0.0,0.0,0.0,0.0,0.001,0.228,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002
Coleslaw,N/A,2709815,0.94,7.98,10.4,117.0,7.44,1.9,33.0,0.14,11.0,32.0,172.0,280.0,0.2,0.011,1.3,79.0,0.85,0.0,26.9,0.055,0.048,0.291,0.108,33.0,0.02,54.3,9.0,1.23,0.0,1.69,4.39
Coleslaw dressing,N/A,2710200,0.85,34.5,22.4,404.0,21.2,0.0,9.0,0.33,3.0,42.0,35.0,850.0,0.16,0.018,4.8,17.0,3.08,0.0,0.6,0.034,0.055,0.061,0.007,4.0,0.09,66.1,41.0,5.34,0.002,7.41,19.4
"Coleslaw, fast food / restaurant",N/A,2709814,0.88,11.8,12.4,159.0,9.54,1.9,34.0,0.3,10.0,25.0,153.0,221.0,0.18,0.018,1.9,54.0,0.8,0.0,13.7,0.029,0.058,0.281,0.119,25.0,0.0,79.0,8.0,1.91,0.0,2.58,6.91
"Coleslaw, with fruit",N/A,2709817,0.91,6.34,13.6,113.0,10.2,2.1,29.0,0.2,11.0,31.0,182.0,222.0,0.18,0.024,1.0,63.0,0.71,0.0,22.1,0.05,0.047,0.275,0.099,26.0,0.02,43.4,7.0,0.982,0.0,1.33,3.48
"Collards, NS as to form, cooked",N/A,2709579,3.15,3.37,5.65,58.0,0.48,4.2,242.0,0.49,28.0,26.0,222.0,148.0,0.22,0.048,1.4,260.0,2.76,0.0,25.7,0.051,0.129,0.734,0.181,101.0,0.0,457.0,2.0,0.773,0.0,1.0,0.994
"Collards, fresh, cooked with butter or margarine",N/A,2709583,3.16,2.99,5.65,54.0,0.49,4.2,242.0,0.49,28.0,27.0,222.0,157.0,0.22,0.048,1.4,273.0,2.58,0.1,25.7,0.051,0.129,0.734,0.198,101.0,0.0,456.0,4.0,1.07,0.0,0.651,0.58
"Collards, fresh, cooked with oil",N/A,2709582,3.14,3.76,5.64,61.0,0.48,4.2,242.0,0.49,28.0,26.0,222.0,139.0,0.22,0.048,1.4,248.0,2.94,0.0,25.7,0.051,0.129,0.734,0.163,101.0,0.0,458.0,0.0,0.475,0.0,1.36,1.41
"Collards, fresh, cooked, fat added, NS as to fat type",N/A,2709580,3.15,3.37,5.65,58.0,0.48,4.2,242.0,0.49,28.0,26.0,222.0,148.0,0.22,0.048,1.4,260.0,2.76,0.0,25.7,0.051,0.129,0.734,0.181,101.0,0.0,457.0,2.0,0.773,0.0,1.0,0.994
"Collards, fresh, cooked, no added fat",N/A,2709577,3.24,0.65,5.81,34.0,0.49,4.3,249.0,0.5,29.0,27.0,228.0,143.0,0.22,0.049,1.4,256.0,2.42,0.0,26.5,0.052,0.132,0.756,0.168,104.0,0.0,469.0,0.0,0.059,0.0,0.032,0.215
"Collards, frozen, cooked with butter or margarine",N/A,2709585,2.89,2.58,6.88,55.0,0.56,2.7,204.0,1.08,29.0,27.0,244.0,178.0,0.26,0.053,1.5,579.0,1.42,0.0,25.6,0.046,0.112,0.615,0.143,74.0,0.0,605.0,4.0,1.0,0.0,0.595,0.548
"Collards, frozen, cooked with oil",N/A,2709584,2.88,3.3,6.87,61.0,0.55,2.7,203.0,1.09,29.0,26.0,243.0,161.0,0.26,0.053,1.5,557.0,1.76,0.0,25.6,0.045,0.111,0.615,0.11,74.0,0.0,606.0,0.0,0.446,0.0,1.25,1.32
"Collards, frozen, cooked, fat added, NS as to fat type",N/A,2709581,2.88,2.94,6.88,58.0,0.56,2.7,204.0,1.09,29.0,26.0,243.0,169.0,0.26,0.053,1.5,568.0,1.59,0.0,25.6,0.046,0.112,0.615,0.127,74.0,0.0,605.0,2.0,0.724,0.0,0.923,0.934
"Collards, frozen, cooked, no added fat",N/A,2709578,2.96,0.41,7.08,36.0,0.57,2.8,210.0,1.12,30.0,27.0,250.0,166.0,0.27,0.055,1.5,573.0,1.25,0.0,26.3,0.047,0.115,0.633,0.114,76.0,0.0,621.0,0.0,0.06,0.0,0.02,0.209
"Collards, raw",N/A,2709576,3.02,0.61,5.42,32.0,0.46,4.0,232.0,0.47,27.0,25.0,213.0,17.0,0.21,0.046,1.3,251.0,2.26,0.0,35.3,0.054,0.13,0.742,0.165,129.0,0.0,437.0,0.0,0.055,0.0,0.03,0.201
Congee,N/A,2708418,0.8,0.08,8.4,39.0,0.02,0.1,5.0,0.36,4.0,13.0,10.0,234.0,0.15,0.028,2.2,0.0,0.01,0.0,0.0,0.049,0.004,0.44,0.028,17.0,0.0,0.0,0.0,0.023,0.0,0.026,0.023
"Congee, with egg",N/A,2708984,3.12,2.06,6.91,60.0,0.05,0.1,14.0,0.62,6.0,47.0,35.0,213.0,0.37,0.022,8.0,36.0,0.22,0.5,0.0,0.055,0.087,0.352,0.035,28.0,0.2,0.1,82.0,0.658,0.0,0.747,0.382
"Congee, with meat, poultry, and/or seafood",N/A,2708981,4.34,1.28,7.0,58.0,0.01,0.1,7.0,0.47,7.0,48.0,55.0,246.0,0.53,0.031,6.0,1.0,0.06,0.0,0.0,0.049,0.026,1.18,0.091,16.0,0.24,0.3,14.0,0.449,0.003,0.542,0.134
"Congee, with meat, poultry, and/or seafood, and vegetables",N/A,2708982,2.73,0.7,7.44,48.0,0.19,0.3,8.0,0.44,6.0,36.0,62.0,241.0,0.37,0.052,5.1,2.0,0.05,0.0,0.6,0.049,0.044,1.02,0.063,18.0,0.12,5.3,7.0,0.238,0.002,0.283,0.088
"Congee, with vegetables",N/A,2708983,1.12,0.12,7.88,38.0,0.37,0.4,9.0,0.4,6.0,24.0,69.0,235.0,0.21,0.072,4.3,2.0,0.04,0.0,1.2,0.049,0.061,0.855,0.035,21.0,0.0,10.3,0.0,0.027,0.0,0.023,0.042
"Cookie bar, with chocolate, nuts, and graham crackers",N/A,2707926,5.1,24.7,65.4,492.0,32.9,2.0,21.0,5.58,41.0,109.0,171.0,311.0,0.72,0.323,3.9,0.0,2.01,0.0,0.0,0.292,0.297,2.66,0.058,72.0,0.03,33.7,0.0,8.09,0.0,6.27,8.42
"Cookie, Lebkuchen",N/A,2707943,5.6,12.8,73.8,430.0,17.6,1.0,74.0,6.43,52.0,95.0,346.0,459.0,0.45,0.373,5.6,0.0,0.11,0.0,0.0,0.355,0.264,3.03,0.104,89.0,0.0,5.5,0.0,3.21,0.0,7.13,1.73
"Cookie, NFS",N/A,2707899,5.1,24.7,65.4,492.0,32.9,2.0,21.0,5.58,41.0,109.0,171.0,311.0,0.72,0.323,3.9,0.0,2.01,0.0,0.0,0.292,0.297,2.66,0.058,72.0,0.03,33.7,0.0,8.09,0.0,6.27,8.42
"Cookie, Pfeffernusse",N/A,2707957,5.37,26.2,63.8,514.0,21.6,1.3,13.0,2.98,14.0,66.0,88.0,353.0,0.49,0.09,6.2,0.0,2.44,0.0,0.0,0.353,0.314,3.28,0.071,81.0,0.0,11.0,0.0,8.1,0.001,6.71,8.33
"Cookie, Pizzelle",N/A,2707958,8.1,6.9,79.0,417.0,6.0,3.0,25.0,3.6,26.0,97.0,112.0,256.0,0.67,0.204,4.8,0.0,0.78,0.0,0.0,0.25,0.354,4.43,0.03,173.0,0.0,1.8,0.0,1.22,0.0,1.84,3.26
"Cookie, almond",N/A,2707900,5.37,26.2,63.8,514.0,21.6,1.3,13.0,2.98,14.0,66.0,88.0,353.0,0.49,0.09,6.2,0.0,2.44,0.0,0.0,0.353,0.314,3.28,0.071,81.0,0.0,11.0,0.0,8.1,0.001,6.71,8.33
"Cookie, animal",N/A,2707968,6.9,13.8,74.1,446.0,23.3,1.1,43.0,2.75,18.0,114.0,100.0,335.0,0.64,0.157,7.0,0.0,0.12,0.0,0.0,0.35,0.326,3.47,0.022,103.0,0.05,5.9,0.0,3.46,0.0,7.67,1.87
"Cookie, animal, with frosting or icing",N/A,2707969,3.0,24.1,70.1,509.0,41.1,0.9,6.0,1.57,7.0,5.0,96.0,257.0,0.24,0.052,11.3,0.0,0.93,0.0,0.0,0.28,0.15,1.7,0.014,59.0,0.0,6.0,0.0,16.2,0.0,2.4,4.5
"Cookie, applesauce",N/A,2707901,6.2,18.1,68.7,450.0,24.7,2.8,37.0,2.58,33.0,138.0,142.0,520.0,0.79,0.134,9.8,5.0,0.26,0.0,0.5,0.267,0.23,2.23,0.066,59.0,0.0,8.0,0.0,4.52,0.0,10.0,2.54
"Cookie, bar, with chocolate",N/A,2707908,5.1,24.7,65.4,492.0,32.9,2.0,21.0,5.58,41.0,109.0,171.0,311.0,0.72,0.323,3.9,0.0,2.01,0.0,0.0,0.292,0.297,2.66,0.058,72.0,0.03,33.7,0.0,8.09,0.0,6.27,8.42
"Cookie, batter or dough, raw",N/A,2707898,4.97,22.4,54.5,435.0,29.2,0.9,54.0,2.16,12.0,69.0,80.0,533.0,0.38,0.057,8.8,231.0,2.46,0.3,0.1,0.313,0.203,2.18,0.036,60.0,0.14,24.1,47.0,4.33,0.0,10.5,6.6
"Cookie, biscotti",N/A,2707902,7.63,8.38,67.0,373.0,28.4,1.4,112.0,3.15,17.0,205.0,97.0,262.0,0.51,0.083,12.8,20.0,1.4,0.3,0.4,0.378,0.277,3.01,0.037,62.0,0.1,6.5,46.0,1.29,0.0,3.2,2.86
"Cookie, brownie, NS as to icing",N/A,2707903,4.8,16.3,63.9,405.0,36.6,2.1,29.0,2.25,31.0,101.0,149.0,286.0,0.72,0.224,6.3,20.0,0.15,0.0,0.0,0.255,0.21,1.72,0.035,47.0,0.07,6.5,17.0,4.24,0.0,8.96,2.26
"Cookie, brownie, reduced fat, NS as to icing",N/A,2707906,2.77,9.68,61.6,345.0,38.7,11.1,0.0,1.99,31.0,59.0,143.0,290.0,0.46,0.178,12.9,0.0,0.59,0.0,0.0,0.178,0.247,1.44,0.019,42.0,0.02,8.0,0.0,2.77,0.0,3.43,2.58
"Cookie, brownie, with icing or filling",N/A,2707905,2.94,17.0,63.6,401.0,47.2,1.5,18.0,1.83,26.0,90.0,173.0,234.0,0.5,0.212,3.5,10.0,0.86,0.0,0.0,0.133,0.113,0.915,0.02,24.0,0.04,3.2,8.0,4.88,0.0,8.99,2.24
"Cookie, brownie, without icing",N/A,2707904,4.8,16.3,63.9,405.0,36.6,2.1,29.0,2.25,31.0,101.0,149.0,286.0,0.72,0.224,6.3,20.0,0.15,0.0,0.0,0.255,0.21,1.72,0.035,47.0,0.07,6.5,17.0,4.24,0.0,8.96,2.26
"Cookie, butter or sugar",N/A,2707970,5.35,19.6,67.3,464.0,27.3,1.3,35.0,2.24,13.0,99.0,87.0,385.0,0.43,0.079,8.2,7.0,3.07,0.0,0.1,0.232,0.236,2.94,0.068,72.0,0.19,8.6,12.0,7.67,0.0,6.97,3.75
"Cookie, butter or sugar, with chocolate icing or filling",N/A,2707978,4.1,23.5,68.8,503.0,33.8,1.9,19.0,2.44,13.0,74.0,234.0,301.0,0.2,0.365,9.0,0.0,1.81,0.0,0.0,0.34,0.19,2.1,0.026,71.0,0.03,6.6,1.0,14.8,0.0,2.7,5.1
"Cookie, butter or sugar, with fruit and/or nuts",N/A,2707972,6.52,21.1,65.0,470.0,24.0,1.6,38.0,2.17,26.0,125.0,204.0,227.0,0.59,0.294,7.2,131.0,0.54,0.3,0.3,0.321,0.293,2.72,0.103,68.0,0.29,1.9,93.0,9.32,0.009,5.24,5.14
"Cookie, butter or sugar, with icing or filling other than chocolate",N/A,2707979,3.38,14.9,72.7,433.0,45.9,0.4,21.0,1.21,7.0,59.0,67.0,204.0,0.22,0.11,4.8,151.0,1.65,0.5,0.0,0.2,0.192,1.71,0.229,41.0,0.21,8.3,63.0,6.9,0.006,4.76,2.44
"Cookie, butterscotch, brownie",N/A,2707907,4.8,16.3,63.9,405.0,36.6,2.1,29.0,2.25,31.0,101.0,149.0,286.0,0.72,0.224,6.3,20.0,0.15,0.0,0.0,0.255,0.21,1.72,0.035,47.0,0.07,6.5,17.0,4.24,0.0,8.96,2.26
